date,ticker,p_raw,p_calibrated
2026-04-14,NASDAQ:HON,0.0040820907,0.0040820907
2026-04-14,NASDAQ:IDXX,0.005606946,0.005606946
2026-04-14,NASDAQ:INTC,0.08759011,0.08759011
2026-04-14,NASDAQ:INTU,0.013630282,0.013630282
2026-04-14,NASDAQ:ISRG,0.0040820907,0.0040820907
2026-04-14,NASDAQ:KDP,0.003757027,0.003757027
2026-04-14,NASDAQ:KHC,0.0040403046,0.0040403046
2026-04-14,NASDAQ:KLAC,0.015344773,0.015344773
2026-04-14,NASDAQ:LIN,0.004217027,0.004217027
2026-04-14,NASDAQ:LRCX,0.025026824,0.025026824
2026-04-14,NASDAQ:LULU,0.020380937,0.020380937
2026-04-14,NASDAQ:MAR,0.0034114718,0.0034114718
2026-04-14,NASDAQ:MCHP,0.0074628717,0.0074628717
2026-04-14,NASDAQ:MDB,0.10324439,0.10324439
2026-04-14,NASDAQ:MDLZ,0.0040820907,0.0040820907
2026-04-14,NASDAQ:MELI,0.008873984,0.008873984
2026-04-14,NASDAQ:META,0.0044791196,0.0044791196
2026-04-14,NASDAQ:MNST,0.004217027,0.004217027
2026-04-14,NASDAQ:MRVL,0.12606256,0.12606256
2026-04-14,NASDAQ:MSFT,0.004217027,0.004217027
2026-04-14,NASDAQ:MSTR,0.14223622,0.14223622
2026-04-14,NASDAQ:MU,0.1271574,0.1271574
2026-04-14,NASDAQ:NFLX,0.005723478,0.005723478
2026-04-14,NASDAQ:NVDA,0.004684663,0.004684663
2026-04-14,NASDAQ:NXPI,0.00436912,0.00436912
2026-04-14,NASDAQ:ODFL,0.012176989,0.012176989
2026-04-14,NASDAQ:ON,0.029893378,0.029893378
2026-04-14,NASDAQ:ORLY,0.0040820907,0.0040820907
2026-04-14,NASDAQ:PANW,0.0071430528,0.0071430528
2026-04-14,NASDAQ:PAYX,0.0053701582,0.0053701582
2026-04-14,NASDAQ:PCAR,0.0034114718,0.0034114718
2026-04-14,NASDAQ:PDD,0.0045348313,0.0045348313
2026-04-14,NASDAQ:PEP,0.0040820907,0.0040820907
2026-04-14,NASDAQ:PYPL,0.00966378,0.00966378
2026-04-14,NASDAQ:QCOM,0.0045348313,0.0045348313
2026-04-14,NASDAQ:REGN,0.0040820907,0.0040820907
2026-04-14,NASDAQ:ROP,0.003999349,0.003999349
2026-04-14,NASDAQ:ROST,0.0034114718,0.0034114718
2026-04-14,NASDAQ:SBUX,0.0034114718,0.0034114718
2026-04-14,NASDAQ:SNPS,0.045638338,0.045638338
2026-04-14,NASDAQ:TEAM,0.11272726,0.11272726
2026-04-14,NASDAQ:TMUS,0.0043358332,0.0043358332
2026-04-14,NASDAQ:TSLA,0.01773237,0.01773237
