ticker,date,pe,ps,p_fcf,earnings_yield,sales_yield,fcf_yield,eps_ttm,rev_ps_ttm,fcf_ps_ttm,market_cap,adj_close,shares,revenue_ttm,net_income_ttm,fcf_ttm,revenue_q,asof_fiscal_period_end,asof_filed_date
FUND:AR,2026-07-02,11.457497980061621,1.8776069357739507,,0.08727909022896653,0.532592834499623,,3.0879342123008358,18.843134484596664,,11018.25188,35.38,311.426,5868.242,961.663,,1945.126,2026-03-31,2026-04-29
FUND:ARE,2026-07-02,,3.0709815327728354,4.790506090681908,-0.11825915165617185,0.32562878979512616,0.2087462120015078,-6.247631198534532,17.202969561120636,11.028062762265387,9026.90392286682,52.83000183105469,170.867,2939.4197999999997,-1067.514,1884.3319999999999,671.022,2026-03-31,2026-04-27
FUND:ARES,2026-07-02,49.72485826283048,4.38865444859021,16.073294423150898,0.020110665669760264,0.227860272827184,0.062214999220052046,2.3279100493675067,26.37596525527375,7.201697063838526,25933.05505467224,115.75499725341797,224.034,5909.112999999999,521.531,1613.4250000000002,1396.436,2026-03-31,2026-05-08
FUND:ARMK,2026-07-02,41.99929726187008,0.7723932700264955,35.59023914973203,0.02380992219381419,1.294677256788756,0.028097591471439417,1.3402605202898006,72.87738278463907,1.5816134239273247,14995.093099999998,56.29,266.39,19413.806,357.032,421.326,4907.342,2026-03-31,2026-05-12
FUND:ARW,2026-07-02,14.05225384365556,0.304695523152489,33.6180021663336,0.07116296155235548,3.2819648600466524,0.029745967504322415,14.05326164735916,648.1224205620128,5.874233662753591,10211.09836,197.48,51.707,33512.466,726.652,303.7389999999999,9473.548,2026-03-31,2026-05-07
FUND:ASH,2026-07-02,,1.7049004424778762,12.135669291338584,-0.22936226260843612,0.5865445131485891,0.08240171810826417,-15.369565217391305,39.30434782608695,5.521739130434782,3082.46,67.01,46.0,1808.0,-707.0,254.0,482.0,2026-03-31,2026-04-29
FUND:ASTS,2026-07-02,,291.3563851180314,,-0.01968960715493377,0.0034322227041459546,-0.05240824446814673,-1.6761762570995116,0.2921851188039451,-4.461513851573331,24746.35457,85.13,290.689,84.935,-487.246,-1296.913,14.735,2026-03-31,2026-05-11
FUND:ATI,2026-07-02,61.27064629847239,5.674319294809011,46.25738112136267,0.016321029080199733,0.17623259250053508,0.021618171538426722,3.06998556998557,33.14935064935065,4.066378066378067,26070.66,188.1,138.6,4594.5,425.49999999999994,563.6,1151.5,2026-03-31,2026-04-30
FUND:ATO,2026-07-02,21.826006020359397,6.019584434542084,,0.045816902967368164,0.16612442451371165,-0.06777490828308094,8.022310681000166,29.087556313016947,-11.8670476485591,29383.042344848636,175.09500122070312,167.812,4881.241,1346.24,-1991.4329999999998,1962.402,2026-03-31,2026-05-06
FUND:ATR,2026-07-02,21.29135437043289,2.1257852217447057,24.812523283021143,0.04696742079445593,0.47041440958897307,0.04030222918457817,5.963923250146527,59.73322330875774,5.117577197149644,8232.621537643434,126.9800033569336,64.834,3872.7437999999997,386.66499999999996,331.793,982.868,2026-03-31,2026-05-01
FUND:AUR,2026-07-02,,3228.81,,-0.06434259061387942,0.00030971162750363136,-0.050018427841836466,-0.42659137577002054,0.002053388090349076,-0.3316221765913758,12915.24,6.63,1948.0,4.0,-831.0,-646.0,1.0,2026-03-31,2026-05-06
FUND:AVB,2026-07-02,23.730431112289633,8.829329447089243,40.99179872178023,0.04213998453159644,0.11325888404013161,0.024395123687721187,8.098925525342121,21.767337532756212,4.688523076704565,27062.990475112914,192.1909942626953,140.813,3065.1241,1140.434,660.2049999999999,770.279,2026-03-31,2026-05-07
FUND:AVGO,2026-07-02,60.94792303173873,23.67733730234525,54.539108098452,0.016407450004149417,0.04223447878579445,0.018335466692906616,6.012510254306809,15.476825266611977,6.719031993437244,1786810.2595214844,366.45001220703125,4876.0,75465.0,29317.0,32762.0,22187.0,2026-04-30,2026-06-09
FUND:AVT,2026-07-02,31.861707746685248,0.2730979590990343,207.27455673078563,0.031385637202828075,3.661689758865489,0.004824518820700361,2.5792716749065474,300.91766550102494,0.39647895815748196,6815.187425308228,82.18000030517578,82.93,24955.102,213.899,32.87999999999998,7119.779,2026-03-31,2026-05-01
FUND:AVTR,2026-07-02,,1.0659894071391338,15.91382044533386,-0.07894538140978256,0.9380956258127987,0.06283846191649177,-0.8147163120567376,9.681146572104018,0.6484929078014184,6984.575793457031,10.319999694824219,676.8,6552.199999999999,-551.4,438.9,1581.4,2026-03-31,2026-04-29
FUND:AVY,2026-07-02,18.497637745676677,1.4168438341236964,14.756181932424855,0.054060957066462335,0.7057940867692662,0.06776820756069872,8.95844155844156,116.95714285714287,11.22987012987013,12759.670516967773,165.7100067138672,77.0,9005.7,689.8000000000001,864.7,2298.5,2026-03-31,2026-05-05
FUND:AWI,2026-07-02,22.35571767144664,4.156426868257624,28.588446972167155,0.04473128595988795,0.24059126545373344,0.034979164869416296,7.092592592592592,38.14815046296295,5.546296296296296,6849.79189453125,158.55999755859375,43.2,1648.0000999999997,306.4,239.6,409.9,2026-03-31,2026-04-28
FUND:AWK,2026-07-02,24.161773723179977,5.115518663389882,,0.041387689970816766,0.1954835991815801,-0.04521849249080162,5.651282051282052,26.692307692307693,-6.174358974358975,26626.274642944336,136.5449981689453,195.0,5205.0,1102.0,-1204.0,1207.0,2026-03-31,2026-04-29
FUND:AXON,2026-07-02,237.83075144717927,16.42179345172808,2511.4205582150753,0.004204670732927041,0.06089468869155512,0.0003981810201915059,2.4974902398215284,36.17022599966052,0.23651155459637763,48990.28082910156,593.97998046875,82.478,2983.2479000000003,205.988,19.507000000000033,807.345,2026-03-31,2026-05-07
